,0,1,2,type
0,Ben Schwartz,,Sonic the Hedgehog,Lead Ensemble Members
1,Jim Carrey,,Dr. Ivo Robotnik,Lead Ensemble Members
2,Idris Elba,,Knuckles the Echidna,Lead Ensemble Members
3,Colleen O Shaughnessey,,Miles “Tails” Prower,Lead Ensemble Members
4,James Marsden,,Tom Wachowski,Lead Ensemble Members
5,Tika Sumpter,,Maddie Wachowski,Lead Ensemble Members
6,Lee Majdoub,,Stone,Lead Ensemble Members
7,Natasha Rothwell,,Rachel,Lead Ensemble Members
8,Shemar Moore,,Randall,Lead Ensemble Members
0,Adam Pally,,Wade Whipple,Supporting Cast
1,Tom Butler,,Commander Walters,Supporting Cast
2,Melody Niemann,,Jojo,Supporting Cast
3,Elfina Luk,,Homeland Security Secretary,Supporting Cast
0,Jeff Fowler,,Director,Production and Technical Credits
1,Patrick Casey,,Screenwriter,Production and Technical Credits
2,Josh Miller,,Screenwriter,Production and Technical Credits
3,Patrick Casey,,Story by,Production and Technical Credits
4,Josh Miller,,Story by,Production and Technical Credits
5,Neal H. Moritz,,Producer,Production and Technical Credits
6,Toby Ascher,,Producer,Production and Technical Credits
7,Toru Nakahara,,Producer,Production and Technical Credits
8,Hitoshi Okuno,,Producer,Production and Technical Credits
9,Yukio Sugino,,Executive Producer,Production and Technical Credits
10,Haruki Satomi,,Executive Producer,Production and Technical Credits
11,Tim Miller,,Executive Producer,Production and Technical Credits
12,Nan Morales,,Executive Producer,Production and Technical Credits
13,Shuji Utsumi,,Executive Producer,Production and Technical Credits
14,Jim May,,Editor,Production and Technical Credits
15,Tom Holkenborg,,Composer,Production and Technical Credits
16,Brandon Trost,,Director of Photography,Production and Technical Credits
17,Dmitri Johnson,,Co-Producer,Production and Technical Credits
18,Dan Jevons,,Co-Producer,Production and Technical Credits
19,Sammy Warshaw,,Co-Producer,Production and Technical Credits
