,0,1,2,type
0,Letitia Wright,,Shuri,Lead Ensemble Members
1,Lupita Nyong'o,,Nakia,Lead Ensemble Members
2,Danai Gurira,,Okoye,Lead Ensemble Members
3,Winston Duke,,M’Baku,Lead Ensemble Members
4,Dominique Thorne,,Riri Williams/Ironheart,Lead Ensemble Members
5,Florence Kasumba,,Ayo,Lead Ensemble Members
6,Michaela Coel,,Aneka,Lead Ensemble Members
7,Tenoch Huerta,,Namor,Lead Ensemble Members
8,Martin Freeman,,Everett K. Ross,Lead Ensemble Members
9,Angela Bassett,,Ramonda,Lead Ensemble Members
0,Danny Sapani,,Border Tribe Elder,Supporting Cast
1,Isaach de Bankolé,,Wakandan River Tribe Elder,Supporting Cast
2,Dorothy Steel,,Merchant Tribe Elder,Supporting Cast
0,Ryan Coogler,,Director,Production and Technical Credits
1,Ryan Coogler,,Screenwriter,Production and Technical Credits
2,Joe Robert Cole,,Screenwriter,Production and Technical Credits
3,Kevin Feige,,Producer,Production and Technical Credits
4,Nate Moore,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Barry Waldman,,Executive Producer,Production and Technical Credits
8,Autumn Durald,,Director of Photography,Production and Technical Credits
9,Hannah Beachler,,Production Designer,Production and Technical Credits
10,Michael P. Shawver,,Editor,Production and Technical Credits
11,Kelley Dixon,,Editor,Production and Technical Credits
12,Jennifer Lame,,Editor,Production and Technical Credits
13,Ruth E. Carter,,Costume Designer,Production and Technical Credits
14,Geoffrey Baumann,,Visual Effects Supervisor,Production and Technical Credits
15,Nicole Rowley,,Visual Effects Producer,Production and Technical Credits
16,Ludwig Göransson,,Composer,Production and Technical Credits
