,0,1,2,type
0,Tom Cruise,,Ethan Hunt,Lead Ensemble Members
1,Paula Patton,,Agent Jane Carter,Lead Ensemble Members
2,Simon Pegg,,Benju Dunn,Lead Ensemble Members
3,Jeremy Renner,,Agent William Brandt,Lead Ensemble Members
4,Michael Nyqvist,,Kurt Hendricks,Lead Ensemble Members
5,Lea Seydoux,,Sabine Moreau,Lead Ensemble Members
6,Josh Holloway,,Trevor Hanaway,Lead Ensemble Members
7,Anil Kapoor,,Indian Communication Magnate,Lead Ensemble Members
8,Vladimir Mashkov,,Anatoly Sidirov,Lead Ensemble Members
9,Tom Wilkinson,,IMF secretary,Lead Ensemble Members
0,Brad Bird,,Director,Production and Technical Credits
1,Josh Appelbaum,,Screenwriter,Production and Technical Credits
2,Andre Nemec,,Screenwriter,Production and Technical Credits
3,Bruce Geller,,Based on the Television series created by Bruce Geller.,Production and Technical Credits
4,Tom Cruise,,Producer,Production and Technical Credits
5,J.J. Abrams,,Producer,Production and Technical Credits
6,Bryan Burk,,Producer,Production and Technical Credits
7,Jeffrey Chernov,,Executive Producer,Production and Technical Credits
8,David Ellison,,Executive Producer,Production and Technical Credits
9,Paul Schwake,,Executive Producer,Production and Technical Credits
10,Dana Goldberg,,Executive Producer,Production and Technical Credits
11,Josh Appelbaum,,Co-Producer,Production and Technical Credits
12,Andre Nemec,,Co-Producer,Production and Technical Credits
13,Tom Peitzman,,Co-Producer,Production and Technical Credits
14,Tommy Harper,,Co-Producer,Production and Technical Credits
15,Robert Elswit,,Cinematographer,Production and Technical Credits
16,Paul Hirsch,,Editor,Production and Technical Credits
17,Michael Giacchino,,Composer,Production and Technical Credits
18,Jim Bissell,,Production Designer,Production and Technical Credits
19,Helen Jarvis,,Art Director,Production and Technical Credits
20,Michael Kaplan,,Costume Designer,Production and Technical Credits
21,Grant Van Der Slagt,,Art Director,Production and Technical Credits
22,Michael Diner,,Art Director,Production and Technical Credits
23,Margot Ready,,Set Designer,Production and Technical Credits
24,Bryan Sutton,,Set Designer,Production and Technical Credits
25,John Alvarez,,Set Designer,Production and Technical Credits
26,Nancy Brown,,Set Designer,Production and Technical Credits
27,Dan Hermansen,,Set Designer,Production and Technical Credits
28,Doug Higgins,,Set Designer,Production and Technical Credits
29,Rosemary Brandenberg,,Set Decorator,Production and Technical Credits
30,Elizabeth Wilcox,,Set Decorator,Production and Technical Credits
31,Michael McGee,,Sound Mixer,Production and Technical Credits
32,Gary Rydstrom,,Sound Designer,Production and Technical Credits
33,Richard Hymns,,Supervising Sound Editor,Production and Technical Credits
34,Gary Rydstrom,,Re-recording Mixer,Production and Technical Credits
35,Andy Nelson,,Re-recording Mixer,Production and Technical Credits
36,Mike Meinardus,,Special Effects Supervisor,Production and Technical Credits
37,John Knoll,,Visual Effects Supervisor,Production and Technical Credits
38,Gregg Smrz,,Stunt Coordinator,Production and Technical Credits
39,Robert Alonzo,,Fight Choreographer,Production and Technical Credits
40,Ben Rosenblatt,,Associate Producer,Production and Technical Credits
41,Tommy Gormley,,First Assistant Director,Production and Technical Credits
42,Misha Bukowski,,Key Second Assistant Director,Production and Technical Credits
43,Geoffrey Hansen,,Assistant Director,Production and Technical Credits
44,Chris Castaldi,,First Assistant Director-Second Unit,Production and Technical Credits
45,Thomas Gormley,,Associate Producer,Production and Technical Credits
46,Dan Bradley,,Second Unit Director,Production and Technical Credits
47,Mitchell Amundsen,,Second Unit Director,Production and Technical Credits
48,April Webster,,Casting,Production and Technical Credits
49,Alyssa Weisberg,,Casting,Production and Technical Credits
