,0,1,2,type
0,Chris Pratt,,Owen Grady,Leading Cast
1,Bryce Dallas Howard,,Claire Dearing,Leading Cast
0,Laura Dern,,Ellie Sattler,Supporting Cast
1,Jeff Goldblum,,Ian Malcolm,Supporting Cast
2,Sam Neill,,Alan Grant,Supporting Cast
3,DeWanda Wise,,Kayla Watts,Supporting Cast
4,Mamoudou Athie,,Ramsay Cole,Supporting Cast
5,B.D. Wong,,Dr. Henry Wu,Supporting Cast
6,Omar Sy,,Barry Sembène,Supporting Cast
7,Isabella Sermon,,Maisie Lockwood / Young Charlotte Lockwood,Supporting Cast
8,Campbell Scott,,Lewis Dodgson,Supporting Cast
9,Justice Smith,,Franklin Webb,Supporting Cast
10,Scott Haze,,Rainn Delacourt,Supporting Cast
11,Dichen Lachman,,Soyona Santos,Supporting Cast
12,Daniella Pineda,,Dr. Zia Rodriguez,Supporting Cast
0,Colin Trevorrow,,Director,Production and Technical Credits
1,Emily Carmichael,,Screenwriter,Production and Technical Credits
2,Colin Trevorrow,,Screenwriter,Production and Technical Credits
3,Derek Connolly,,Story by,Production and Technical Credits
4,Colin Trevorrow,,Story by,Production and Technical Credits
5,Michael Crichton,,based on characters created by,Production and Technical Credits
6,Frank Marshall,,Producer,Production and Technical Credits
7,Patrick Crowley,,Producer,Production and Technical Credits
8,Steven Spielberg,,Executive Producer,Production and Technical Credits
9,Alexandra Derbyshire*,,Executive Producer,Production and Technical Credits
10,Colin Trevorrow,,Executive Producer,Production and Technical Credits
11,Richard Roberts,,Set Decorator,Production and Technical Credits
